X,Y,CDP,INLINE,dip,var,Ins_Fre,Ins_phase,Max_Amp,label
414134.94,4193519.4,455,381,11.5441,0.0046,50.9977,0.0089,543034.5625,1
416990.11,4192689.97,1026,215,10.0025,0.0011,51.0454,-0.1076,3045995.25,1
413259.98,4193339.23,280,345,5.1,0.0008,51.1282,0.0225,4172879.0,1
413455.12,4192639.27,319,205,26.0191,0.0054,51.1101,-0.0775,3429368.5,1
413105.01,4193169.2,249,311,2.1547,0.0002,51.1856,-0.0147,2975216.75,1
413290.04,4193049.23,286,287,10.6721,0.0007,50.9512,-0.0666,1668997.875,1
414264.88,4193844.43,481,446,14.8994,0.0019,50.328,-0.2361,945335.5625,1
412879.77,4194399.15,204,557,10.3245,0.0027,51.1454,-0.1656,2432963.5,1
413609.87,4193864.3,350,450,10.8301,0.0009,51.2014,-0.0206,1704060.375,1
414164.84,4194019.41,461,481,11.6226,0.0013,51.0931,-0.0836,2357678.75,1
412884.79,4194294.15,205,536,8.9399,0.001,51.1592,-0.1324,4019598.5,1
413384.96,4193444.25,305,366,2.644,0.0002,51.214,-0.1017,4075142.75,1
413164.91,4193689.21,261,415,8.5894,0.001,51.2333,-0.0465,2802052.75,1
413559.91,4193699.29,340,417,2.7672,0.0003,51.1448,-0.0946,2472826.5,1
416585.14,4192544.89,945,186,8.3448,0.0008,51.0733,-0.0161,1960822.875,1
417280.09,4192780.03,1084,233,8.6002,0.0017,51.0141,-0.1429,2455963.75,1
416675.08,4192829.91,963,243,9.5267,0.0009,51.1133,-0.0568,1882783.5,1
413009.92,4193644.18,230,406,8.9192,0.0007,51.0543,-0.022,4647020.5,1
412914.89,4193794.16,211,436,5.115,0.0004,51.186,0.0411,4856491.0,1
412939.82,4194109.16,216,499,10.2927,0.001,51.0521,-0.0584,3505033.0,1
413420.01,4193154.26,312,308,10.4241,0.0027,50.8446,-0.1819,1202477.75,1
412879.94,4193504.15,204,378,1.646,0.0003,51.1205,-0.0912,6313398.5,1
414254.87,4193879.43,479,453,10.3411,0.0021,50.5986,-0.1342,907931.3125,1
412974.89,4193799.17,223,437,3.8938,0.0003,51.0883,-0.0834,4989737.0,1
415904.99,4193254.75,809,328,16.8261,0.0036,51.1947,-0.0525,1443202.375,1
414319.93,4193574.44,492,392,8.6295,0.0006,51.2694,0.0017,742780.4375,1
414214.98,4193324.42,471,342,11.2642,0.0016,50.9803,-0.083,795341.75,1
414189.86,4193909.41,466,459,21.7286,0.0057,50.8043,-0.0749,897985.4375,1
414039.86,4193909.38,436,459,9.6811,0.0009,51.1717,-0.0465,2655493.25,1
412905.0,4193214.16,209,320,8.2006,0.0008,51.1148,-0.0666,3392590.5,1
416825.1,4192724.94,993,222,2.7304,0.0006,51.0897,-0.1468,2292438.25,1
414099.99,4193279.4,448,333,21.5904,0.0026,51.0256,-0.0093,580882.4375,1
413994.9,4193739.37,427,425,12.8458,0.0018,51.1575,0.0446,2894600.25,1
412954.78,4194354.17,219,548,12.5119,0.0017,51.1821,-0.0969,3594243.75,1
415775.06,4192919.73,783,261,29.2803,0.0121,50.9831,0.0593,687860.375,1
413679.93,4193589.31,364,395,8.0121,0.0009,51.1923,-0.0488,2756556.25,1
413205.01,4193194.22,269,316,7.1363,0.0008,50.8797,-0.1024,2359661.25,1
414179.94,4193509.41,464,379,15.8088,0.0015,51.2539,-0.0618,614079.875,1
414169.78,4194339.41,462,545,11.8461,0.0016,51.3569,0.032,1329888.625,1
